title,rating,price,image,description,brand
SAMSUNG 189 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Digital Inverter,4.5,"17,290",https://rukminim2.flixcart.com/www/100/100/promos/08/07/2019/7e4ee41e-ce86-43e0-834e-485eaf5a3cfb.png?q=90,"Digital Inverter Compressor, Built-in Stabilizer, 1 year comprehensive warranty on product, 20 years on compressor, For all Refrigerators with Digital Inverter Compressors, sold on or after 1st Dec 2022 (All Refrigerator apart from Non-Digital Inverter Technology Direct Cool Models) the Warranty period on the Digital Inverter Compressor shall be revised from 10 years to 20 years.",SAMSUNG
Haier 190 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,4.4,"15,490",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/v/s/0/-original-imagub7tcgvzcfgf.jpeg?q=70,"Normal Compressor, Built-in Stabilizer, 1 Year Warranty on Product and 10 Years on Compressor",Haier
SAMSUNG 236 L Frost Free Double Door 3 Star Refrigerator with Digital Inverter,4.4,"24,890",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/7/t/g/-original-imagrt58ahjdmdwm.jpeg?q=70,"Digital Inverter Compressor, Built-in Stabilizer, 1 Year Comprehensive Warranty on Product and 20 Years Warranty on Compressor",SAMSUNG
realme TechLife 564 L Frost Free Side by Side Refrigerator,4.4,"47,990",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/v/z/4/-original-imagpqjfcsxhhsqd.jpeg?q=70,"Advanced Inverter Compressor, Built-in Stabilizer, 1 Year Warranty on Product and 10 Years on Compressor",realme
SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,4.4,"16,190",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/r/e/l/-original-imaggs9nhrntdpex.jpeg?q=70,"Digital Inverter Compressor, Built-in Stabilizer, 1 year comprehensive warranty on product, 20 years on compressor, For all Refrigerators with Digital Inverter Compressors, sold on or after 1st Dec 2022 (All Refrigerator apart from Non-Digital Inverter Technology Direct Cool Models) the Warranty period on the Digital Inverter Compressor shall be revised from 10 years to 20 years.",SAMSUNG
MarQ by Flipkart 468 L Frost Free Side by Side Refrigerator,4.3,"37,990",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/a/p/f/-original-imagub7xrumdszmw.jpeg?q=70,"Reciprocatory Compressor, Built-in Stabilizer, 1 Year Warranty on Product and 5 Years on Compressor",MarQ by Flipkart
LG 185 L Direct Cool Single Door 5 Star Refrigerator,4.5,"16,890",https://rukminim2.flixcart.com/image/312/312/kfeamq80/refrigerator-new/c/t/h/468asmqs-na-marq-by-flipkart-original-imafvufgxpd8bged.jpeg?q=70,"Smart Inverter Compressor, Built-in Stabilizer, 1 Year Warranty on Product and 10 Years on Compressor From LG",LG
Haier 190 L Direct Cool Single Door 5 Star Refrigerator,4.4,"15,290",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/r/h/9/-original-imagszgdgtuhfzyh.jpeg?q=70,"Normal Compressor, Built-in Stabilizer, 1 Year Warranty on Product and 10 Years Warranty on Compressor",Haier
LG 185 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Smart Inverter Compressor,4.4,"15,890",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/4/6/p/-original-imagrt57rnafjhxg.jpeg?q=70,"Smart Inverter Compressor, Built-in Stabilizer, 1 Year Warranty on Product and 10 Years Warranty on Compressor from LG",LG
Whirlpool 207 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,4.4,"18,990",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/7/6/b/-original-imagszgcghzrhhxv.jpeg?q=70,"Inverter Compressor, Built-in Stabilizer, 1 Year on Product and 10 Years on Compressor from Whirlpool",Whirlpool
Haier 240 L Frost Free Double Door 2 Star Refrigerator,4.4,"18,990",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/y/m/y/-original-imagqujvuhqfnmqj.jpeg?q=70,"Normal Compressor, Built-in Stabilizer, 1 Year Warranty on Product and 10 Years Warranty on Compressor",Haier
